Gene	01CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	01CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	01CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	02CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	03CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	04CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	05CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	06CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	07CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	08CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	09CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	10CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	11CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	12CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	Spectral Counts	Distinct Peptides	Unshared Peptides	NCBIGeneID	Authority	Description	Organism	Chromosome	Locus	Proteins	Assays
TNFRSF1A	0	0	0	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	2	2	2	2	2	6	6	6	16	7	7	7132	HGNC:11916	TNF receptor superfamily member 1A	Homo sapiens	12	12p13.31	F5H061;F5H4T5;F5H6V7;F5H6Z2;F5H7N1;F5H8A6;NP_001056.1;NP_001333020.1;NP_001333021.1;P19438;P19438-2;P19438-3;P19438-4;P19438-5	
TNFRSF21	3	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	9	3	3	27242	HGNC:13469	TNF receptor superfamily member 21	Homo sapiens	6	6p12.3	NP_055267.1;O75509;XP_016866233.1	
TNFRSF6B	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	7	4	4	8771	HGNC:11921	TNF receptor superfamily member 6b	Homo sapiens	20	20q13.33	NP_003814.1;O95407	
TNFSF10	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	2	1	1	0	0	0	1	1	1	10	9	9	0	0	0	3	3	3	18	10	10	8743	HGNC:11925	TNF superfamily member 10	Homo sapiens	3	3q26.31	H7C246;NP_001177871.1;NP_003801.1;P50591;P50591-2	
TNFSF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	6	4	4	3	2	2	2	2	2	1	1	1	13	4	4	8742	HGNC:11927	TNF superfamily member 12	Homo sapiens	17	17p13.1	C0H5Y4;NP_003800.1;O43508;O43508-2	
TNIK	10	7	0	5	3	0	4	3	0	7	4	0	4	3	0	7	5	0	7	6	1	8	6	2	8	5	0	11	9	1	7	5	1	16	11	4	94	18	7	23043	HGNC:30765	TRAF2 and NCK interacting kinase	Homo sapiens	3	3q26.2-q26.31	C9J338;C9JVV1;NP_001155032.1;NP_001155033.1;NP_001155034.1;NP_001155035.1;NP_001155036.1;NP_001155037.1;NP_001155038.1;NP_055843.1;Q9UKE5;Q9UKE5-2;Q9UKE5-3;Q9UKE5-4;Q9UKE5-5;Q9UKE5-6;Q9UKE5-7;Q9UKE5-8	
TNIP1	4	3	3	4	3	3	3	2	2	4	2	2	4	1	1	5	2	2	6	5	5	6	5	5	8	5	5	5	4	4	3	2	2	6	6	6	58	16	16	10318	HGNC:16903	TNFAIP3 interacting protein 1	Homo sapiens	5	5q33.1	A0A0A0MRZ4;E7EMV7;E7EW15;E7EW68;E7EWG2;H0YC17;NP_001239314.1;NP_001239315.1;NP_001239319.1;NP_001239320.1;NP_001239321.1;NP_001239322.1;NP_001245383.1;NP_001245384.1;NP_001245385.1;NP_006049.3;Q15025;Q15025-2;Q15025-3;Q15025-4;Q15025-5;Q15025-6;Q15025-7;Q15025-8;XP_005268412.1;XP_006714814.1;XP_006714815.1;XP_016864434.1;XP_016864435.1;XP_016864436.1;XP_016864437.1;XP_016864438.1;XP_016864439.1;XP_016864440.1	
TNIP2	1	1	1	1	1	1	4	3	3	6	4	4	3	3	3	2	2	2	2	2	2	2	2	2	5	5	5	4	4	4	2	1	1	4	4	4	36	11	11	79155	HGNC:19118	TNFAIP3 interacting protein 2	Homo sapiens	4	4p16.3	D6RGJ2;NP_001154999.1;NP_001278945.1;NP_077285.3;Q8NFZ5;Q8NFZ5-2	
TNK1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	3	3	3	11	7	7	8711	HGNC:11940	tyrosine kinase non receptor 1	Homo sapiens	17	17p13.1	NP_001238831.1;NP_003976.2;Q13470;Q13470-2;U3KPR9;XP_011522347.1;XP_011522348.1;XP_011522349.1;XP_011522350.1	
TNKS1BP1	89	55	55	91	57	57	78	56	56	111	70	70	119	75	75	119	74	74	128	74	74	98	64	64	112	63	63	137	78	78	126	74	74	170	85	85	1378	134	134	85456	HGNC:19081	tankyrase 1 binding protein 1	Homo sapiens	11	11q12.1	E9PKE7;E9PKK0;NP_203754.2;Q9C0C2;Q9C0C2-2;XP_006718788.1;XP_011543627.1	CPTAC-1012;CPTAC-1013
TNNC1	2	2	2	4	4	4	3	3	3	3	2	2	2	2	2	2	1	1	0	0	0	2	2	2	13	1	1	126	10	10	6	1	1	5	3	3	168	12	12	7134	HGNC:11943	troponin C1, slow skeletal and cardiac type	Homo sapiens	3	3p21.1	C9JDI3;NP_003271.1;P63316	
TNNC2	18	2	1	18	4	3	11	2	1	16	3	2	15	2	1	14	3	2	18	4	3	14	2	1	18	2	1	102	12	11	23	4	3	15	1	0	282	12	11	7125	HGNC:11944	troponin C2, fast skeletal type	Homo sapiens	20	20q13.12	C9J7T9;NP_003270.1;P02585;XP_011527333.1	
TNNI1	1	1	1	2	2	2	2	2	2	4	3	3	2	1	1	2	2	2	3	3	3	3	3	3	3	2	2	138	19	16	3	3	3	3	3	3	166	20	17	7135	HGNC:11945	troponin I1, slow skeletal type	Homo sapiens	1	1q32.1	A0A087WT47;G3V3L5;G3V489;G3V4F8;NP_003272.3;P19237	
TNNI2	2	2	2	3	2	2	2	2	2	2	2	2	3	3	3	1	1	1	2	1	1	3	3	3	2	2	2	149	21	18	4	3	3	1	1	1	174	23	20	7136	HGNC:11946	troponin I2, fast skeletal type	Homo sapiens	11	11p15.5	A0A087WXS0;NP_001139301.1;NP_001139313.1;NP_003273.1;P48788;P48788-2	
TNNT1	2	2	2	2	1	1	3	2	1	1	1	1	2	2	1	4	3	2	1	1	1	1	1	1	3	2	2	197	48	41	4	3	1	6	5	4	226	52	43	7138	HGNC:11948	troponin T1, slow skeletal type	Homo sapiens	19	19q13.42	K7EKM3;K7ELB0;K7EQL4;M0QX01;M0QY38;M0QZU8;M0QZY5;NP_001119604.1;NP_001119605.1;NP_001278703.1;NP_003274.3;P13805;P13805-2;P13805-3;Q3B759;XP_011525548.1;XP_016882675.1;XP_016882676.1	
TNNT3	1	1	1	1	1	1	2	2	1	2	2	2	3	3	2	3	3	2	2	2	2	1	1	1	2	2	2	225	59	53	2	2	1	3	2	1	247	60	53	7140	HGNC:11950	troponin T3, fast skeletal type	Homo sapiens	11	11p15.5	C9JCA5;C9JZN9;F8WA37;H9KVA2;NP_001036245.1;NP_001036246.1;NP_001036247.1;NP_001284575.1;NP_006748.1;P45378;P45378-2;P45378-3;P45378-4;P45378-5;P45378-6;P45378-7;XP_006718351.1;XP_006718353.1;XP_006718356.1;XP_006718357.1;XP_006718359.1;XP_006718362.1;XP_006718363.1;XP_006718365.1;XP_011518645.1;XP_016873694.1;XP_016873695.1;XP_016873696.1;XP_016873697.1;XP_016873698.1;XP_016873699.1;XP_016873700.1;XP_016873701.1;XP_016873702.1;XP_016873703.1;XP_016873704.1;XP_016873705.1;XP_016873706.1;XP_016873707.1;XP_016873708.1	
TNPO1	59	33	20	58	33	23	64	36	26	72	40	24	70	34	24	83	45	28	79	46	32	77	38	26	82	44	31	61	36	23	84	38	25	76	42	27	865	80	52	3842	HGNC:6401	transportin 1	Homo sapiens	5	5q13.2	E7EW37;NP_002261.3;NP_694858.1;Q92973;Q92973-2;Q92973-3;S4R398;XP_005248557.1;XP_005248558.1;XP_016864947.1	
TNPO2	60	33	20	47	26	16	45	26	16	65	39	23	48	25	15	57	35	18	61	37	23	69	34	22	59	31	18	70	36	23	77	29	16	77	36	21	735	70	42	30000	HGNC:19998	transportin 2	Homo sapiens	19	19p13.13	A0A075B780;K7ELC3;K7EMA3;K7ENW1;K7ESC1;K7ESG1;K7ESJ3;NP_001129667.1;NP_001129668.1;NP_038461.2;O14787;O14787-2	
TNPO3	28	20	20	21	17	17	25	19	19	27	23	23	32	22	21	28	21	21	32	22	22	23	19	18	29	21	20	38	27	26	45	29	28	37	25	24	365	38	37	23534	HGNC:17103	transportin 3	Homo sapiens	7	7q32.1	C9J7E5;E9PFH4;NP_001177957.2;NP_036602.1;Q9Y5L0;Q9Y5L0-1;Q9Y5L0-3;Q9Y5L0-5;XP_011514291.1	
TNRC18	2	2	2	1	1	1	0	0	0	3	3	3	4	4	4	3	3	3	1	1	1	1	1	1	3	3	3	1	1	1	3	2	2	5	4	4	27	15	15	84629	HGNC:11962	trinucleotide repeat containing 18	Homo sapiens	7	7p22.1	H7BXS9;H7C3U5;H9KVB4;NP_001073964.2;O15417;O15417-2;XP_016868217.1;XP_016868218.1;XP_016868219.1;XP_016868220.1;XP_016868221.1;XP_016868222.1;XP_016868223.1;XP_016868224.1;XP_016868225.1;XP_016868226.1;XP_016868227.1;XP_016868228.1;XP_016868229.1	
TNRC6B	3	3	3	4	4	4	5	5	5	4	4	3	12	11	10	12	11	10	11	9	8	12	8	8	13	12	12	9	8	8	16	16	16	7	7	6	108	38	37	23112	HGNC:29190	trinucleotide repeat containing 6B	Homo sapiens	22	22q13.1	H0Y720;NP_001020014.1;NP_001155973.1;NP_055903.2;Q9UPQ9;Q9UPQ9-1;Q9UPQ9-2	
TNRC6C	0	0	0	0	0	0	1	1	1	2	2	1	2	2	1	2	2	1	1	1	0	0	0	0	2	1	1	2	2	2	2	2	2	3	3	2	17	6	5	57690	HGNC:29318	trinucleotide repeat containing 6C	Homo sapiens	17	17q25.3	A0A1B0GU24;NP_001136112.1;NP_061869.2;Q9HCJ0;Q9HCJ0-2;XP_006722059.3;XP_006722060.3;XP_006722063.3;XP_011523390.1;XP_016880395.1;XP_016880396.1;XP_016880397.1	
TNS1	95	62	58	86	62	57	120	77	72	101	63	59	60	44	40	94	59	55	119	73	68	136	92	86	142	81	77	113	68	63	72	54	49	118	78	73	1256	145	139	7145	HGNC:11973	tensin 1	Homo sapiens	2	2q35	A0A087WWW7;C9J8K5;C9JFT7;C9JI43;C9JZT0;E7EMG1;E7ERH1;E9PF55;E9PGF5;H0Y4U1;H7C3Z4;NP_001294951.1;NP_001294952.1;NP_072174.3;Q9HBL0;Q9HBL0-2;XP_011510014.1;XP_011510015.1;XP_011510017.1;XP_011510025.1;XP_011510030.1;XP_016860290.1;XP_016860291.1;XP_016860292.1;XP_016860293.1;XP_016860294.1;XP_016860295.1;XP_016860296.1;XP_016860297.1;XP_016860298.1;XP_016860299.1;XP_016860300.1;XP_016860301.1;XP_016860302.1;XP_016860303.1;XP_016860304.1;XP_016860305.1;XP_016860306.1	
TNS2	13	8	6	15	13	10	16	14	11	10	7	5	15	11	9	17	13	11	21	15	12	13	11	7	33	24	22	20	16	13	20	17	14	21	18	15	214	48	44	23371	HGNC:19737	tensin 2	Homo sapiens	12	12q13.13	F8VV64;NP_056134.2;NP_736610.2;NP_938072.1;Q63HR2;Q63HR2-2;Q63HR2-4;Q63HR2-5;Q63HR2-6;R4GMX1;XP_006719365.1;XP_006719366.1;XP_011536381.1;XP_016874577.1;XP_016874578.1	
TNS3	46	26	23	43	31	27	38	30	26	54	30	27	56	36	33	55	38	35	58	37	33	65	42	37	65	40	37	58	41	37	61	42	38	63	39	35	662	78	73	64759	HGNC:21616	tensin 3	Homo sapiens	7	7p12.3	C9JHU5;C9JTD0;C9JWN9;E9PCX8;NP_073585.8;Q68CZ2;Q68CZ2-2;Q68CZ2-3;Q68CZ2-4;XP_011513778.1;XP_011513779.1;XP_011513780.1;XP_011513781.1;XP_011513782.1;XP_011513783.1;XP_011513784.1;XP_011513785.1;XP_011513786.1;XP_016868026.1;XP_016868027.1;XP_016868028.1	
TNXB	208	127	127	139	97	97	210	130	130	155	113	113	242	141	141	178	116	116	133	99	99	230	155	155	202	120	120	194	132	131	175	120	120	126	90	90	2192	253	252	7148	HGNC:11976	tenascin XB	Homo sapiens	6	6p21.33-p21.32	A0A087WWA5;A0A087X0I0;A0A140T8Y3;A0A140T8Z8;A0A140T902;A0A140T923;A0A140T956;A0A140T9C0;A0A140T9L7;A0A140TA33;A0A140TA41;A0A140TA52;C9J7W4;NP_061978.6;NP_115859.2;P22105;P22105-2;P22105-3;P22105-4	non-CPTAC-2701
TOE1	3	3	3	3	3	3	3	3	3	3	3	3	9	7	7	3	3	3	5	5	5	6	6	6	3	3	3	5	5	5	7	4	4	5	5	5	55	12	12	114034	HGNC:15954	target of EGR1, member 1 (nuclear)	Homo sapiens	1	1p34.1	NP_079353.3;Q96GM8;Q96GM8-2;XP_005270469.1;XP_005270470.1;XP_011538871.1	
TOLLIP	11	9	9	11	8	8	13	9	9	13	9	9	7	5	5	12	8	8	12	8	8	14	8	8	19	10	10	12	10	10	12	8	8	17	10	10	153	16	16	54472	HGNC:16476	toll interacting protein	Homo sapiens	11	11p15.5	E7EN89;E9PNS3;E9PP67;E9PQ25;F2Z2Y8;NP_001305441.1;NP_001305443.1;NP_001305444.1;NP_001305445.1;NP_061882.2;Q9H0E2;Q9H0E2-2;XP_016873420.1	
TOM1	22	15	13	21	13	12	23	12	11	21	12	9	23	14	13	35	20	19	19	14	13	24	18	15	23	16	14	18	13	11	25	17	14	30	17	15	284	28	24	10043	HGNC:11982	target of myb1 membrane trafficking protein	Homo sapiens	22	22q12.3	B0QY01;B0QY02;F8WE29;H7BYN7;NP_001129201.1;NP_001129202.1;NP_001129204.1;NP_005479.1;O60784;O60784-2;O60784-3;O60784-4;Q6UW50;V9GYF4;V9GZ68;XP_011528120.1;XP_011528122.1;XP_016884018.1;XP_016884019.1	
TOM1L1	0	0	0	2	2	2	1	1	1	4	4	4	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	4	4	4	27	7	7	10040	HGNC:11983	target of myb1 like 1 membrane trafficking protein	Homo sapiens	17	17q22	I3L1G1;I3L1Q1;I3L367;I3L3M3;I3L3T4;I3L4G0;I3L4I4;I3L4N3;I3NI44;J3KQU4;NP_001308102.1;NP_001308103.1;NP_001308104.1;NP_001308105.1;NP_005477.2;O75674;O75674-2;O75674-3;XP_016879491.1	CPTAC-284;CPTAC-285
TOM1L2	12	9	7	8	8	7	9	8	7	14	12	9	15	13	12	11	9	8	17	14	13	15	11	8	17	12	10	16	11	9	9	8	6	16	13	11	159	21	18	146691	HGNC:11984	target of myb1 like 2 membrane trafficking protein	Homo sapiens	17	17p11.2	B7Z2U2;F5H3S6;K7EKL6;K7ENB0;NP_001028723.1;NP_001076437.1;NP_001275715.1;NP_001275716.1;NP_001275717.1;NP_001275718.1;NP_001337260.1;NP_001337261.1;NP_001337262.1;Q6ZVM7;Q6ZVM7-2;Q6ZVM7-3;Q6ZVM7-4;Q6ZVM7-5;XP_005256519.1;XP_005256523.1;XP_011521964.1	
TOMM20	3	3	3	5	3	3	5	3	3	3	3	3	5	5	5	4	4	4	5	4	4	6	6	6	6	5	5	2	2	2	4	3	3	11	7	7	59	12	12	9804	HGNC:20947	translocase of outer mitochondrial membrane 20	Homo sapiens	1	1q42.3	NP_055580.1;Q15388	
TOMM22	12	8	8	12	6	6	17	6	6	18	7	7	22	7	7	15	6	6	20	8	8	23	7	7	23	7	7	19	5	5	16	5	5	30	10	10	227	16	16	56993	HGNC:18002	translocase of outer mitochondrial membrane 22	Homo sapiens	22	22q13.1	NP_064628.1;Q9NS69	
TOMM34	31	22	22	25	18	18	35	20	20	40	27	27	35	23	23	34	21	21	44	26	26	27	17	17	32	22	22	31	24	24	29	21	21	41	24	24	404	40	40	10953	HGNC:15746	translocase of outer mitochondrial membrane 34	Homo sapiens	20	20q13.12	NP_006800.2;Q15785;XP_005260311.1;XP_011526803.1;XP_016883089.1	
TOMM40	26	13	13	28	14	14	44	20	20	41	19	19	39	18	18	30	13	13	46	23	22	29	19	19	32	18	18	34	19	18	46	19	18	41	26	25	436	36	35	10452	HGNC:18001	translocase of outer mitochondrial membrane 40	Homo sapiens	19	19q13.32	K7EJ57;K7EKG4;NP_001122388.1;NP_001122389.1;NP_006105.1;O96008;O96008-2;XP_005258468.1	
TOMM40L	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	2	2	2	1	1	1	4	3	2	2	2	1	2	2	1	16	4	3	84134	HGNC:25756	translocase of outer mitochondrial membrane 40 like	Homo sapiens	1	1q23.3	NP_001273302.1;NP_001273303.1;NP_115550.2;Q969M1;Q969M1-2;XP_006711635.1;XP_011508359.1;XP_016857970.1;XP_016857971.1	
TOMM5	10	4	4	5	4	4	10	5	5	11	5	5	9	5	5	11	4	4	12	5	5	12	5	5	12	5	5	13	5	5	18	6	6	13	5	5	136	6	6	401505	HGNC:31369	translocase of outer mitochondrial membrane 5	Homo sapiens	9	9p13.2	F8W8Z9;H0YFG9;NP_001001790.1;NP_001127956.1;NP_001127957.1;Q8N4H5;Q8N4H5-2;Q8N4H5-3	
TOMM6	3	2	2	2	1	1	1	1	1	2	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	10	2	2	100188893	HGNC:34528	translocase of outer mitochondrial membrane 6	Homo sapiens	6	6p21.1	NP_001127965.1;Q96B49	
TOMM70	58	35	35	59	32	32	78	47	47	74	38	38	89	44	44	68	35	35	89	41	41	87	41	41	76	36	36	72	35	35	74	38	38	81	42	42	905	66	66	9868	HGNC:11985	translocase of outer mitochondrial membrane 70	Homo sapiens	3	3q12.2	NP_055635.3;O94826	
TONSL	2	2	1	5	5	4	3	3	3	3	3	3	3	3	3	2	2	2	4	4	4	7	6	5	6	3	2	4	4	3	3	2	1	4	4	3	46	17	16	4796	HGNC:7801	tonsoku like, DNA repair protein	Homo sapiens	8	8q24.3	A0A087X1F6;NP_038460.4;Q96HA7;Q96HA7-2;XP_011515350.1;XP_011515351.1;XP_011515352.1	
TOP1	81	45	44	74	41	40	103	52	51	93	49	48	87	43	42	97	49	48	92	48	47	98	48	47	85	44	43	85	43	42	86	48	46	102	55	54	1083	86	84	7150	HGNC:11986	topoisomerase (DNA) I	Homo sapiens	20	20q12	NP_003277.1;P11387	
TOP2A	54	41	21	60	41	24	65	45	27	68	45	25	60	47	29	77	54	33	86	59	43	71	50	34	60	42	24	40	30	16	50	33	17	67	47	24	758	106	70	7153	HGNC:11989	topoisomerase (DNA) II alpha	Homo sapiens	17	17q21.2	J3KTB7;NP_001058.2;P11388;P11388-2;P11388-3;P11388-4;XP_005257689.1;XP_011523467.1	CPTAC-1187
TOP2B	118	84	64	103	68	51	152	95	77	154	86	66	120	81	63	141	83	62	138	84	68	131	81	64	120	72	54	123	78	64	141	81	65	163	95	72	1604	165	128	7155	HGNC:11990	topoisomerase (DNA) II beta	Homo sapiens	3	3p24.2	E9PCY5;H7BZ82;NP_001059.2;NP_001317629.1;Q02880;Q02880-2;XP_011532359.1	
TOP3A	0	0	0	0	0	0	1	1	1	2	1	1	2	2	1	2	2	1	1	1	0	2	2	2	3	3	3	2	2	2	1	1	1	0	0	0	16	8	7	7156	HGNC:11992	topoisomerase (DNA) III alpha	Homo sapiens	17	17p11.2	K7ELI7;K7EMT6;NP_001307688.1;NP_004609.1;Q13472;Q13472-2;Q13472-3;XP_011522303.1	
TOP3B	2	2	2	1	1	1	4	4	4	3	3	3	6	6	5	7	7	6	5	5	4	4	4	4	2	2	2	2	2	2	3	3	3	1	1	1	40	18	17	8940	HGNC:11993	topoisomerase (DNA) III beta	Homo sapiens	22	22q11.22	C9J9X4;C9JEI7;C9JEQ1;C9JF56;C9JHR0;C9JKE2;C9JT00;C9JTQ7;F2Z2A5;H0Y6W0;H7C4B0;NP_001269041.1;NP_001269042.1;NP_001336774.1;NP_001336776.1;NP_001336777.1;NP_001336779.1;NP_001336780.1;NP_001336781.1;NP_003926.1;O95985;O95985-2;O95985-3;XP_005261868.1;XP_011528784.1;XP_016884527.1	
TOPBP1	1	1	1	3	3	3	4	4	3	3	3	2	3	3	3	2	2	1	3	3	2	3	3	3	5	4	4	5	5	4	4	4	3	6	6	6	42	19	17	11073	HGNC:17008	topoisomerase (DNA) II binding protein 1	Homo sapiens	3	3q22.1	H0Y8I7;I3L1F2;NP_008958.2;Q92547;XP_005247133.1;XP_011510659.1;XP_016861125.1;XP_016861126.1	
TOR1A	8	6	6	6	4	4	11	9	8	7	7	6	9	7	6	9	7	7	8	7	7	8	7	6	6	5	4	10	8	7	10	9	8	7	7	6	99	13	12	1861	HGNC:3098	torsin family 1 member A	Homo sapiens	9	9q34.11	NP_000104.1;O14656;O14656-2	
TOR1AIP1	36	21	19	37	18	16	43	27	25	50	26	24	50	27	25	47	30	28	51	29	27	43	27	25	61	31	28	48	31	29	61	32	30	64	30	28	591	52	49	26092	HGNC:29456	torsin 1A interacting protein 1	Homo sapiens	1	1q25.2	A0A0A0MSK5;H0Y4R4;H0YD16;H0YDU3;J3KN66;NP_001254507.1;NP_056417.2;Q5JTV8;Q5JTV8-2;Q5JTV8-3;XP_011507705.1;XP_011507706.1	
TOR1AIP2	8	6	4	12	7	5	10	6	4	17	11	9	16	9	7	14	11	9	16	11	9	15	10	8	18	13	10	13	11	9	18	13	11	24	14	12	181	25	22	163590	HGNC:24055	torsin 1A interacting protein 2	Homo sapiens	1	1q25.2	NP_001186189.1;NP_001336860.1;NP_001336862.1;NP_001336863.1;NP_001336864.1;NP_001336865.1;NP_001336866.1;NP_071742.1;NP_659471.1;Q8NFQ8;Q9H496;XP_016855965.1	
TOR1B	6	6	5	3	3	3	7	5	4	2	2	2	6	5	5	5	5	4	4	3	3	3	3	3	2	2	2	3	3	3	4	3	3	5	4	4	50	10	9	27348	HGNC:11995	torsin family 1 member B	Homo sapiens	9	9q34.11	H0Y7C8;NP_001304822.1;NP_001304823.1;NP_055321.1;O14657;XP_005251984.1	
TOR2A	1	1	1	1	1	1	2	2	1	2	2	1	4	3	2	1	1	1	2	2	2	3	3	2	1	1	0	2	2	1	2	2	1	3	3	2	24	6	5	27433	HGNC:11996	torsin family 2 member A	Homo sapiens	9	9q34.11	NP_001078816.1;NP_001127902.1;NP_001127903.1;NP_001238947.1;NP_001238950.1;NP_569726.2;Q5JU69;Q5JU69-2;Q5JU69-5;Q8N2E6;XP_011516856.1	
TOR3A	2	2	1	1	1	1	4	4	3	1	1	1	0	0	0	4	4	3	2	2	2	1	1	1	2	2	2	3	3	3	5	5	5	3	2	2	28	10	9	64222	HGNC:11997	torsin family 3 member A	Homo sapiens	1	1q25.2	NP_071766.2;Q5W0C6;Q9H497;Q9H497-2;Q9H497-3	
TOR4A	5	5	5	6	6	6	9	9	9	8	8	8	11	9	9	10	8	8	11	9	9	7	5	5	9	7	7	15	12	12	9	6	6	8	8	8	108	22	22	54863	HGNC:25981	torsin family 4 member A	Homo sapiens	9	9q34.3	NP_060193.2;Q9NXH8	
TOX4	6	6	6	7	7	7	8	7	7	9	8	8	8	7	7	9	7	7	14	9	9	8	6	6	7	6	6	2	2	2	7	5	5	10	9	9	95	14	14	9878	HGNC:20161	TOX high mobility group box family member 4	Homo sapiens	14	14q11.2	NP_001290452.1;NP_055643.1;O94842;O94842-2;O94842-3	
TP53	6	5	5	8	7	7	3	3	3	8	7	7	20	13	13	6	4	4	8	7	7	11	10	10	5	4	4	13	10	10	7	5	5	4	4	4	99	26	26	7157	HGNC:11998	tumor protein p53	Homo sapiens	17	17p13.1	A0A087WT22;A0A087WXZ1;A0A087WZU8;A0A087X1Q1;A0A0U1RQC9;E7EMR6;E7EQX7;E7ESS1;E9PCY9;E9PFT5;I3L0W9;J3KP33;NP_000537.3;NP_001119584.1;NP_001119585.1;NP_001119586.1;NP_001119587.1;NP_001119588.1;NP_001119589.1;NP_001119590.1;NP_001263624.1;NP_001263625.1;NP_001263626.1;NP_001263627.1;NP_001263628.1;NP_001263689.1;NP_001263690.1;P04637;P04637-2;P04637-3;P04637-4;P04637-5;P04637-6;P04637-7;P04637-8;P04637-9;S4R334	CPTAC-951
TP53BP1	66	43	43	65	44	44	57	41	41	99	60	59	88	61	60	80	56	55	87	56	55	89	55	54	62	43	43	83	58	57	77	55	55	88	63	63	941	108	107	7158	HGNC:11999	tumor protein p53 binding protein 1	Homo sapiens	15	15q15.3	A6NNK5;C9JXV0;H7BZY0;H7C151;H7C3N7;H7C495;M0R142;NP_001135451.1;NP_001135452.1;NP_005648.1;Q12888;Q12888-2;Q12888-3;XP_011520287.1;XP_011520288.1;XP_016878022.1	CPTAC-1014;CPTAC-1015;CPTAC-1334
TP53BP2	4	4	3	5	5	4	4	4	3	17	14	13	7	7	7	9	7	6	11	10	9	5	4	4	8	5	5	7	7	7	8	8	8	16	13	12	101	28	27	7159	HGNC:12000	tumor protein p53 binding protein 2	Homo sapiens	1	1q41	H7C5L8;NP_001026855.2;NP_005417.1;Q13625;Q13625-2;Q13625-3;XP_011542570.1;XP_011542571.1;XP_016857709.1	
